,name,text,time
139,majid_bin_saad,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:03 +0000 2020
140,EQiHLQyureuNIGg,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:05 +0000 2020
141,A7_MED21,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:06 +0000 2020
142,do0odehelayel,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:06 +0000 2020
143,iwJfikQskZ0rchk,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:07 +0000 2020
144,fa_toom1,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:07 +0000 2020
145,iAnurag8,b'RT @stufflistings: The iPhone 12 has a pretty decent battery imo.\n#iPhone12 https://t.co/tVp9JI54cs',Mon Nov 02 15:17:07 +0000 2020
146,tarki1155,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:07 +0000 2020
147,iooio317,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:08 +0000 2020
148,iesu_5,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:08 +0000 2020
149,esraa_30,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:08 +0000 2020
150,abowwwed3110,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:09 +0000 2020
151,Akram53101413,b'RT @stufflistings: The iPhone 12 has a pretty decent battery imo.\n#iPhone12 https://t.co/tVp9JI54cs',Mon Nov 02 15:17:09 +0000 2020
152,Fatimah1092020,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:10 +0000 2020
153,saleh__,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:10 +0000 2020
154,abSalman21,b'@ALABDULLATIF       \n\n     #_ \n1 https://t.co/XmMSbrYn5O',Mon Nov 02 15:17:11 +0000 2020
155,shrahly301,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:11 +0000 2020
156,iesu_5,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:12 +0000 2020
157,abboudwer34,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:13 +0000 2020
158,Abdallh0_777,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:13 +0000 2020
159,Jame_ic,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:14 +0000 2020
