,name,text,time
930,Ted_ted_tedd,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 16:50:44 +0000 2020
931,teamcarpiovlogs,b'NEW VLOG IS UP!!! \n\nFULL VLOG HERE:\nhttps://t.co/7cHqwPYZhO\n\n#FloatingAppleStore #AppleStoreMBS https://t.co/PkTjmnRaDZ',Wed Oct 28 16:50:50 +0000 2020
932,mi_espacio_mac,b'RT @DistritoApple: Buenos das #AppleFans  \nAqu les dejo la evolucin del nuevo #iPhone12pro en este diseo en especifico.\n\n#QuedateEnCas',Wed Oct 28 16:50:52 +0000 2020
933,themaster210386,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 16:50:58 +0000 2020
934,teamcarpiovlogs,b'NEW VLOG IS UP!!! \n\nFULL VLOG HERE:\nhttps://t.co/7cHqwPYZhO\n\n#FloatingAppleStore #AppleStoreMBS https://t.co/otESc0qId1',Wed Oct 28 16:50:58 +0000 2020
935,WaelAhm66998789,b'RT @RaqamiTV:      12    .\n  .\n  \n #12 #iPhone12 #iPhone12',Wed Oct 28 16:51:10 +0000 2020
936,teamcarpiovlogs,b'NEW VLOG IS UP!!! \n\nFULL VLOG HERE:\nhttps://t.co/7cHqwPYZhO\n\n#FloatingAppleStore #AppleStoreMBS https://t.co/BwJ2SAN8Y1',Wed Oct 28 16:51:14 +0000 2020
937,Kenialows,"b'RT @vipvendor: #iPhone12 &amp; #iPhone12Pro available @vipvendor \n\niPhone 12 64gb -------------- N485,000\niPhone 12 pro 128gb ------N705,000'",Wed Oct 28 16:51:16 +0000 2020
938,Noct42,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 16:51:18 +0000 2020
939,abomohm84019738,b'RT @giveawayKSA1: \n   #_\n\n    #  40    \n    10.200  \n\n#_\n#FIFA21\n\n',Wed Oct 28 16:51:39 +0000 2020
940,zezotechno,b'@HasanKutbi https://t.co/NhoI5kgJts\nhttps://t.co/NhoI5kgJts\nhttps://t.co/NhoI5kgJts\nhttps://t.co/NhoI5kgJts https://t.co/hZGBFjN9Tj',Wed Oct 28 16:51:42 +0000 2020
941,s_mlissa,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 16:51:42 +0000 2020
942,annick_gran,b'RT @MarcGermann3: Avec @Apple on organise un norme #Concours on vous fait gagn un #iPhone12  64 giga. \n* Pour ceux-l il faut suivre @Ma',Wed Oct 28 16:52:04 +0000 2020
943,A7bk7nnh,"b' #__12         !  "" ""      https://t.co/E1ohjGvj0h'",Wed Oct 28 16:52:05 +0000 2020
944,garethcoolman,b'Thanks for that #Apple  #reducereuserecycle #usbc #uselessplastic #iphone12pro #Fail https://t.co/izc7AHtINQ',Wed Oct 28 16:52:09 +0000 2020
945,_uno_ragazzo_,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 16:52:30 +0000 2020
946,lkdptn,b'RT @BrightMinho:   555555',Wed Oct 28 16:52:33 +0000 2020
947,Gabin_TheGod,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 16:53:03 +0000 2020
948,arche_tea,b'RT @ono_ryo1: \n\n\n# #poipon  #iPhone',Wed Oct 28 16:53:11 +0000 2020
949,romL3N,"b'RT @HeyMarkL: My iPhone 12 Review \n\nIf you could share the video, that would be incredible! I had a lot of fun making this video. And f'",Wed Oct 28 16:53:52 +0000 2020
950,ajdime1_,b'IPHONE 12 finally.... I waited too long! Lol! #iPhone12 #iphone #ChOcolateBarbee #GETTWERKFITB #glamour https://t.co/jxdxlXg5F7',Wed Oct 28 16:53:54 +0000 2020
951,letsgoganfast,"b'No charger with your iPhone 12? ""Surprising innovation over the last few years: new gallium nitride (GaN) means tha https://t.co/gCU4Qsan0i'",Wed Oct 28 16:54:01 +0000 2020
952,squishy90s,b'#    3  \n25.- ',Wed Oct 28 16:54:14 +0000 2020
953,garethcoolman,b'Thanks for that @Apple  #reducereuserecycle #usbc #uselessplastic #iphone12pro #Fail https://t.co/peiYlryog7',Wed Oct 28 16:54:29 +0000 2020
954,CitySmartphone1,b'iPhone 12 Pro Bestellen\n#iphone12 \n#LBECK \n\nhttps://t.co/5CDxNItAIE',Wed Oct 28 16:54:30 +0000 2020
955,80SHASHANK08,b'Oh I want it \n\n@StationChat #iPhone12',Wed Oct 28 16:54:42 +0000 2020
956,mike88000,b'RT @jcsatanas: Accessoires pour transformer casques et couteurs filaires en Bluetooth\n\n#Bluetooth #Audio #musique  #ecouteurs #casques #te',Wed Oct 28 16:54:45 +0000 2020
957,mike88000,b'RT @jcsatanas: Aperu avant TEST de la coque Spigen Liquid Air pour iPhone 12 mini\n\n#test #coque #etui #protection #Spigen \n\n#iPhone12mini',Wed Oct 28 16:54:52 +0000 2020
958,mike88000,"b'RT @jcsatanas: #BONPLAN #PROMO du jour\n\nAirPods Pro  214, couteurs Bluetooth Aukey, coques et vitres ESR pour iPhone 12/12 Pro, chargeur'",Wed Oct 28 16:55:01 +0000 2020
959,syahirluqmannn,"b""RT @stalman: Let's look at some #iPhone12 comparisons (a thread)\n\niPhone X vs iPhone 12 https://t.co/lRwyiBithV""",Wed Oct 28 16:55:01 +0000 2020
960,komachi_117,b'RT @SeikinTV: iPhone...\n()\n#iphone12 #iphone12pro #PR',Wed Oct 28 16:55:03 +0000 2020
961,WalterPhuego,"b""L O V E the #iPhone12 can't put it down.""",Wed Oct 28 16:55:08 +0000 2020
962,BruceQBurke,b'iPhone 12 Pro Camera Test: \n\n@theMrMobile &amp; Friends on a Cinematic Road Trip To Philadelphia!\n\nGreat footage &amp; good https://t.co/GEiW6LW4ze',Wed Oct 28 16:55:15 +0000 2020
963,jimenezstphani2,b'@HubsideFR',Wed Oct 28 16:55:18 +0000 2020
964,waynesworld,"b'note the precision machining of the mmWave antenna ""windows"" within the aluminum frame of the @apple #iphone12 [to https://t.co/5hvcggJgJ7'",Wed Oct 28 16:55:19 +0000 2020
965,raptor61433,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 16:55:24 +0000 2020
966,SouthrnBeauty9,b'Ok so who likes the #iphone12',Wed Oct 28 16:55:47 +0000 2020
967,urahara775,"b""RT @NeowinFeed: Apple's iPhone 12 series apparently could support reverse wireless charging #iPhone12 https://t.co/HDazJBjBg2 https://t.co/""",Wed Oct 28 16:56:00 +0000 2020
968,spark_bibibi123,b'RT @kitcut_live: #iPhone12 #iPhone12Pro \n\n12\nMagSafeUSB Type-C\n\nApple\n\n@kitcut_live',Wed Oct 28 16:56:07 +0000 2020
969,mys__ka,"b'Kdy venku svt slunko, nen ten podzim zase a tak patn.  Dnes 15,7 km v nohch spolu s @TajnaVec. https://t.co/NDRJ9ZMFc7'",Wed Oct 28 16:56:13 +0000 2020
970,proud_lm,b'RT @BrightMinho:  iPhone 12 Pro\n\n     LiDAR scanner \n\n..',Wed Oct 28 16:56:18 +0000 2020
971,aguilar_yeimi,b'RT @daliadepaz: Hoy hay dosis de tecnologa en el #HeraldoRadio \n y ya estoy lista para contarles cmo me ha ido con el #iPhone12 y 12 Pro',Wed Oct 28 16:56:20 +0000 2020
972,templintech,b'https://t.co/DXXIvRPp3Q\niPhone 12 Full Phone Specs &amp; Price\nApple has announced iPhone 12 With Old Design But Proces https://t.co/MlmuiBIuuy',Wed Oct 28 16:56:29 +0000 2020
973,kinterano_2020,"b'RT @YosoyFatimaG: Por fin tengo el #iPhone12Pro en mi manos, y en este video les platico mi mala experiencia con la entrega del iPhone y ob'",Wed Oct 28 16:56:33 +0000 2020
974,Queliansanz26,b'Fundas de 55 \n\nUna semana de uso',Wed Oct 28 16:56:44 +0000 2020
975,theo__35,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 16:56:46 +0000 2020
976,Gouwemere,b'@henklbr Wauw revolutionair! Eh... wacht!  https://t.co/OHVpPZuCvV',Wed Oct 28 16:56:51 +0000 2020
977,alisonalm,b'@supcase_atl is giving away an #iPhone12 and this could be the tweet the wins! Enter everyday to increase your chan https://t.co/q60I8lThtH',Wed Oct 28 16:56:59 +0000 2020
978,dhartiputra007,b'Labour condition of employee manufacturing iPhone 12.\n#iPhone12Pro \n@AppleSupport',Wed Oct 28 16:57:10 +0000 2020
979,asiathan_,b' #iPhone12Pro https://t.co/aLAivvNQrs',Wed Oct 28 16:57:11 +0000 2020
980,GreatYoungsters,"b'Intelligence is so clever and smart, here are the 10  most advanced and expensive robots of intelligence. if you wa https://t.co/oA0FTOsREM'",Wed Oct 28 16:57:49 +0000 2020
981,kelivnn,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 16:57:50 +0000 2020
982,SoyRichard17,b'RT @DistritoApple: Buenos das #AppleFans  \nAqu les dejo la evolucin del nuevo #iPhone12pro en este diseo en especifico.\n\n#QuedateEnCas',Wed Oct 28 16:58:34 +0000 2020
983,seni_bl,"b'Apple refreshes its Clips app with new UI, horizontal support, HDR recording on iPhone 12 - 9to5Mac\n#apple #clips https://t.co/WoLQu8E4Xl'",Wed Oct 28 16:58:38 +0000 2020
984,Ave56848309,b'RT @onrefaitlemac: #sondage n2 ! Quel manque regrettez-vous sur les nouveaux #iPhone12 et #iPhone12pro ? #ORLMac',Wed Oct 28 16:58:42 +0000 2020
985,gautier235,b'#iPhone12Pro\nDurability test\n\nhttps://t.co/YCghlPbmIl',Wed Oct 28 16:58:49 +0000 2020
986,bochix2,b'   iPhone \n\n \n\nhttps://t.co/XnCAxwpouG \nhttps://t.co/Mrft0e0qrl https://t.co/phXdaq7F9p',Wed Oct 28 16:59:03 +0000 2020
987,ecofurchika,b'Want to have these beautiful nude #iOS14 icons? \n\nYou can purchase it here:\nhttps://t.co/cCFMiCUpfQ https://t.co/5oyKD0b7PJ',Wed Oct 28 16:59:11 +0000 2020
988,Lori_Lou56,"b'RT @thelookstand: To celebrate the new Lookstand on Kickstarter - Help to #Retweet, Share &amp; Follow @thelookstand &amp; #Win an Amazon Gift Card'",Wed Oct 28 16:59:13 +0000 2020
989,Mr_Airless,"b'RT @seni_bl: Apple refreshes its Clips app with new UI, horizontal support, HDR recording on iPhone 12 - 9to5Mac\n#apple #clips #iPhone12  h'",Wed Oct 28 16:59:16 +0000 2020
990,harakirimodus,b'Yaniyorsun Fuat abi #iPhone12Pro https://t.co/MvktVmRiWF',Wed Oct 28 16:59:18 +0000 2020
991,sanjeetbarnwal_,b'It doesnt make sense to hire smart people and tell them what to do; we hire smart people so they can tell us what https://t.co/ttdBy84qdi',Wed Oct 28 16:59:23 +0000 2020
992,ecofurchika,b'Are there any @KylieJenner supporters? \n\nI made #iOS14 icons for you \n\nYou can purchase it here: https://t.co/JGCMW835oa',Wed Oct 28 16:59:28 +0000 2020
993,richardlai,"b'RT @waynesworld: note the precision machining of the mmWave antenna ""windows"" within the aluminum frame of the @apple #iphone12 [to allow f'",Wed Oct 28 16:59:31 +0000 2020
994,arenasdebcn,"b""Ets un @Apple Lover declarat?  Doncs t'alegrar saber que a @Fnac_CAT ja han arribat les novetats que estaves esp https://t.co/3VyG0RYpgb""",Wed Oct 28 16:59:51 +0000 2020
995,iphilipcruz,b'  55',Wed Oct 28 16:59:54 +0000 2020
996,itsMintMindy,"b""Brought lil 12 out to film the FLOATING Apple Store + HARSH Camera Test! I'm IMPRESSED \n\nVID https://t.co/pw2hlSjKcD""",Wed Oct 28 17:00:00 +0000 2020
997,jcsatanas,"b'#BONPLAN #PROMO du jour\n\nAirPods Pro  214, couteurs Bluetooth Aukey, coques et vitres ESR pour iPhone 12/12 Pro, https://t.co/KaBPivUlFA'",Wed Oct 28 17:00:01 +0000 2020
